actual_audience_size_number_of_participants_in_person,actual_audience_size_number_of_participants_online,airtable_id,end_date,event_name,event_type,event_unique_identifier,number_of_booked_participants,postcode_(from_venue),project_name,project_type,season,start_date,status,ticket_tailor_id,ward_(from_venue)
60.0,,917,,Waking the Artist at Birchfield Primary School,['CLE - Creative Learning session'],01 - The Awakening: Waking the Artist at Birchfield Primary School,60.0,['LS27 7HU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-03-27,01 - Greenlit,,['Morley North']
40.0,,2458,2023-03-28,Animated Harehills,['CLE - Community Engagement session'],12 - My LEEDS 2023: Animated Harehills,,['LS9 7LN'],12 - My LEEDS 2023,Produce (Signature),['Season 3 - Dreaming'],2023-03-28,01 - Greenlit,,
33.0,,1559,2023-03-28,Community Grant's Scoring - Round 2,['CLE - Community Engagement session'],12 - My LEEDS 2023: Community Grant's Scoring - Round 2,,['LS10 1NE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-03-28,01 - Greenlit,,['Hunslet and Riverside']
15.0,,941,,LS-TEN Skate Park ,['CLE - Community Engagement session'],01 - The Awakening: LS-TEN Skate Park ,,['LS10 1NT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Hunslet and Riverside']
30.0,,1278,2023-03-30,Leeds International Piano Competition Concerts for KS2: Adel Primary,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Adel Primary,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
55.0,,1283,2023-03-30,Leeds International Piano Competition Concerts for KS2: Beckfield Primary,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Beckfield Primary,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
35.0,,1287,2023-03-30,Leeds International Piano Competition Concerts for KS2: Cottingley,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Cottingley,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
32.0,,1281,2023-03-30,Leeds International Piano Competition Concerts for KS2: Cottingley,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Cottingley,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
60.0,,1280,2023-03-30,Leeds International Piano Competition Concerts for KS2: Crossgates,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Crossgates,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
14.0,,1289,2023-03-30,Leeds International Piano Competition Concerts for KS2: Greenmount,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Greenmount,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
60.0,,1284,2023-03-30,Leeds International Piano Competition Concerts for KS2: Holy Rosary,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Holy Rosary,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
17.0,,1286,2023-03-30,Leeds International Piano Competition Concerts for KS2: Lady Lane Park,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Lady Lane Park,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1290,2023-03-30,Leeds International Piano Competition Concerts for KS2: Lawns Park,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Lawns Park,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1291,2023-03-30,Leeds International Piano Competition Concerts for KS2: Primrose Lane,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Primrose Lane,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1276,2023-03-30,Leeds International Piano Competition Concerts for KS2: Pudsey Lowtown,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Pudsey Lowtown,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1282,2023-03-30,Leeds International Piano Competition Concerts for KS2: Pudsey Primrose Hill,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Pudsey Primrose Hill,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
115.0,,1285,2023-03-30,Leeds International Piano Competition Concerts for KS2: Pudsey Waterloo,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Pudsey Waterloo,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1279,2023-03-30,Leeds International Piano Competition Concerts for KS2: Shire Oak,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: Shire Oak,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
118.0,,1288,2023-03-30,Leeds International Piano Competition Concerts for KS2: St Joseph's Wetherby,['CLE - Creative Learning session'],Creative Learning S1: Leeds International Piano Competition Concerts for KS2: St Joseph's Wetherby,,['LS2 3AD'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Little London and Woodhouse']
2.0,0.0,1637,2023-03-29,Meet Me At The Zone,['CLE - Community Engagement session'],Hidden Stories: Meet Me At The Zone,,['LS17 7HR'],Hidden Stories,CLE,,2023-03-29,01 - Greenlit,,['Alwoodley']
110.0,,1643,2023-05-31,Meet Me At The Zone - On-Site Self-Led Engagement Activity,['CLE - Community Engagement session'],Hidden Stories: Meet Me At The Zone - On-Site Self-Led Engagement Activity,,['LS17 7HR'],Hidden Stories,CLE,,2023-03-29,01 - Greenlit,,['Alwoodley']
8.0,,1656,2023-03-29,Royal Armouries - Community Researchers,['CLE - Community Engagement session'],Hidden Stories: Royal Armouries - Community Researchers,,['LS10 1LT'],Hidden Stories,CLE,,2023-03-29,01 - Greenlit,,['Hunslet and Riverside']
35.0,,944,,Waking the Artist 1st Wetherby Beavers/Clubs ,['CLE - Community Engagement session'],01 - The Awakening: Waking the Artist 1st Wetherby Beavers/Clubs ,,['LS22 6PN '],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Wetherby']
58.0,,1361,,Waking the Artist at Crossley Street Primary School,['CLE - Creative Learning session'],01 - The Awakening: Waking the Artist at Crossley Street Primary School,90.0,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Wetherby']
60.0,,952,,Waking the Artist at Whinmoor St Pauls C of E Primary School,['CLE - Creative Learning session'],01 - The Awakening: Waking the Artist at Whinmoor St Pauls C of E Primary School,60.0,['LS14 1EG'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-03-29,01 - Greenlit,,['Cross Gates and Whinmoor']
131.0,,668,2023-03-30,Authors Abroad Slam Poetry Competition Semi Final B,['Public Event - Performance'],Creative Learning S1: Authors Abroad Slam Poetry Competition Semi Final B,,['LS6 1LJ'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-03-30,01 - Greenlit,,['Headingley and Hyde Park']
41.0,,609,2023-03-30,Barn Raiser Bootcamp 3,['CLE - Skills and Talent session'],05 - The Barn: Barn Raiser Bootcamp 3,,['LS2 7QT'],05 - The Barn,Produce (Signature),"['Season 1 - Awakening', 'Season 2 - Playing']",2023-03-30,01 - Greenlit,,['Little London and Woodhouse']
5.0,,1167,2023-03-30,WOWsers Workshop 6,['CLE - Youth Voice session'],05 - The Barn: WOWsers Workshop 6,9.0,['LS10 1NE'],05 - The Barn,Produce (Signature),['Season 2 - Playing'],2023-03-30,01 - Greenlit,,['Hunslet and Riverside']
12.0,,1189,,Dream Builders Workshop - Verd de Gris ,['CLE - Community Engagement session'],05 - The Barn: Dream Builders Workshop - Verd de Gris ,,['HX1 2DL '],05 - The Barn,Produce (Signature),['Season 2 - Playing'],2023-03-31,01 - Greenlit,,
60.0,,858,,Waking the Artist at Chapel Allerton Primary,['CLE - Creative Learning session'],01 - The Awakening: Waking the Artist at Chapel Allerton Primary,60.0,['LS7 3PD'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-03-31,01 - Greenlit,,['Chapel Allerton']
20.0,,2390,2023-04-30,City Stories: Common Ground - Gurdwara Groups,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Gurdwara Groups,,['LS11 6DP'],Hidden Stories,CLE,,2023-04-01,01 - Greenlit,,['Hunslet and Riverside']
8.0,,1168,2023-04-01,WOWsers Workshop 7,['CLE - Youth Voice session'],05 - The Barn: WOWsers Workshop 7,9.0,['LS10 1NE'],05 - The Barn,Produce (Signature),['Season 2 - Playing'],2023-04-01,01 - Greenlit,,['Hunslet and Riverside']
15.0,,242,2023-04-06,R&D Workshop - Young People/Tech,['CLE - Youth Voice session'],10 - Nest: R&D Workshop - Young People/Tech,,['LS26 8DX'],10 - Nest,Produce (Signature),['Season 3 - Dreaming'],2023-04-03,01 - Greenlit,,['Garforth and Swillington']
24.0,,898,,Waking the Artist Calverley 2nd Brownies ,['CLE - Community Engagement session'],01 - The Awakening: Waking the Artist Calverley 2nd Brownies ,,['LS28 5NL'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-04-03,01 - Greenlit,,['Calverley and Farsley']
,,1320,2023-04-04,Breakfast Briefing,['Cultivation Event'],: Breakfast Briefing,,,,,['Season 1 - Awakening'],2023-04-04,01 - Greenlit,,
15.0,,936,,Waking the Artist Leeds City Council - Community Hub & Library Healthy Holiday Programme (Gipton),['CLE - Community Engagement session'],01 - The Awakening: Waking the Artist Leeds City Council - Community Hub & Library Healthy Holiday Programme (Gipton),,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-04-04,01 - Greenlit,,
2451.0,,674,2023-04-08,Waking the Artist Exhibition,['Public Event - Exhibition'],01 - The Awakening: Waking the Artist Exhibition,,['LS2 8NG'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-04-05,01 - Greenlit,,['Little London and Woodhouse']
15.0,,937,,Waking the Artist Leeds City Council - Community Hub & Library Healthy Holiday Programme (Chapel Allerton),['CLE - Community Engagement session'],01 - The Awakening: Waking the Artist Leeds City Council - Community Hub & Library Healthy Holiday Programme (Chapel Allerton),,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-04-05,01 - Greenlit,,
35.0,,610,2023-04-06,Barn Raiser Bootcamp 4,['CLE - Skills and Talent session'],05 - The Barn: Barn Raiser Bootcamp 4,,['LS2 7QT'],05 - The Barn,Produce (Signature),"['Season 1 - Awakening', 'Season 2 - Playing']",2023-04-06,01 - Greenlit,,['Little London and Woodhouse']
,,1116,2023-04-06,Digital Upskilling Workshop 7/20,['CLE - Skills and Talent session'],Creative Learning S1: Digital Upskilling Workshop 7/20,,['LS27 8HZ'],Creative Learning S1,CLE,['Season 1 - Awakening'],2023-04-06,01 - Greenlit,,['Morley South']
15.0,,935,,Waking the Artist Leeds City Council - Community Hub & Library Healthy Holiday Programme (Hunslet) ,['CLE - Community Engagement session'],01 - The Awakening: Waking the Artist Leeds City Council - Community Hub & Library Healthy Holiday Programme (Hunslet) ,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-04-06,01 - Greenlit,,
33.0,,1560,2023-04-11,Community Grant's Scoring - Round 1,['CLE - Community Engagement session'],12 - My LEEDS 2023: Community Grant's Scoring - Round 1,,['LS10 1NE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-11,01 - Greenlit,,['Hunslet and Riverside']
18.0,,1184,,Dream Builders Workshop - Seacroft Hookers ,['CLE - Community Engagement session'],05 - The Barn: Dream Builders Workshop - Seacroft Hookers ,19.0,['LS14 1BW '],05 - The Barn,Produce (Signature),['Season 2 - Playing'],2023-04-13,01 - Greenlit,,['Killingbeck and Seacroft']
7.0,,1169,2023-04-13,WOWsers Workshop 8,['CLE - Youth Voice session'],05 - The Barn: WOWsers Workshop 8,9.0,['LS10 1NE'],05 - The Barn,Produce (Signature),['Season 2 - Playing'],2023-04-13,01 - Greenlit,,['Hunslet and Riverside']
16.0,,1647,2023-04-14,Harewood House - Tea and Tolerance Workshop,['CLE - Community Engagement session'],Hidden Stories: Harewood House - Tea and Tolerance Workshop,,['LS17 8HL'],Hidden Stories,CLE,,2023-04-14,01 - Greenlit,,['Harewood']
36.0,,611,2023-04-15,Barn Raiser Bootcamp 5,['CLE - Skills and Talent session'],05 - The Barn: Barn Raiser Bootcamp 5,,['LS2 7QT'],05 - The Barn,Produce (Signature),"['Season 1 - Awakening', 'Season 2 - Playing']",2023-04-15,01 - Greenlit,,['Little London and Woodhouse']
70.0,,1345,2023-04-15,Early Career Music Promoters CPWM gig - Issy,['CLE - Youth Voice session'],CLE - Skills Development: Early Career Music Promoters CPWM gig - Issy,,['LS1 5EB'],CLE - Skills Development,CLE,['Season 2 - Playing'],2023-04-15,01 - Greenlit,,
24.0,,1664,2023-04-16,City Stories: Common Ground - Jewish Community Photography Session,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Jewish Community Photography Session,,,Hidden Stories,CLE,,2023-04-16,01 - Greenlit,,
56.0,,1360,,Waking the Artist at Beechwood Primary School,['CLE - Creative Learning session'],01 - The Awakening: Waking the Artist at Beechwood Primary School,,['LS14 6QB'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-04-16,01 - Greenlit,,['Killingbeck and Seacroft']
31.0,,1916,,Adel Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Adel Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1915,,Adel St John Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Adel St John Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
48.0,,1918,,Bramhope Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Bramhope Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1927,,Calverley Parkside School sari-making,['CLE - Creative Learning session'],12 - My LEEDS 2023: Calverley Parkside School sari-making,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
4.0,,1917,,Cookridge Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Cookridge Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1922,,Holy Name Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Holy Name Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
41.0,,1921,,Holy Trinity Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Holy Trinity Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
46.0,,1920,,Ireland Wood Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Ireland Wood Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1923,,Iveson Primary mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Iveson Primary mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
9.0,,1951,,Meanwood Valley Urban Farm workshop: East SILC Jack Clark,['CLE - Creative Learning session'],Creative Learning S2: Meanwood Valley Urban Farm workshop: East SILC Jack Clark,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
29.0,,1953,,Meanwood Valley Urban Farm workshop: Meadowfield Primary School,['CLE - Creative Learning session'],Creative Learning S2: Meanwood Valley Urban Farm workshop: Meadowfield Primary School,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
12.0,,1924,,Ralph Thoresby High mural,['CLE - Creative Learning session'],12 - My LEEDS 2023: Ralph Thoresby High mural,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
108.0,,1813,,School grant - Aberford CE Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Aberford CE Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
330.0,,1816,,School grant - Adel Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Adel Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
300.0,,2160,,School grant - Alder Tree Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Alder Tree Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
709.0,,1817,,School grant - Allerton CE Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Allerton CE Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
300.0,,1818,,School grant - Allerton High School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Allerton High School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
100.0,,1820,,School grant - Carr Manor Community School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Carr Manor Community School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
150.0,,2161,,School grant - Christ the King Catholic Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Christ the King Catholic Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
266.0,,1821,,School grant - Cross Gates Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Cross Gates Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
500.0,,1822,,School grant - East SILC Whitkirk Partnership,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - East SILC Whitkirk Partnership,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
238.0,,2162,,School grant - Grimes Dyke Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Grimes Dyke Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
45.0,,1824,,School grant - Home Education,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Home Education,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
420.0,,2163,,School grant - Horsforth Newlaithes Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Horsforth Newlaithes Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
464.0,,1825,,School grant - Kerr Mackie Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Kerr Mackie Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
205.0,,2164,,School grant - Kirkstall St Stephen's CE Primary,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Kirkstall St Stephen's CE Primary,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
400.0,,1826,,School grant - Kirkstall Valley Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Kirkstall Valley Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
400.0,,1827,,School grant - Lawnswood School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Lawnswood School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
100.0,,1828,,School grant - Leeds Teaching Hospitals,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Leeds Teaching Hospitals,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
183.0,,1829,,School grant - Lighthouse School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Lighthouse School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
480.0,,1830,,School grant - Meadowfield Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Meadowfield Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
480.0,,2165,,School grant - Mount St Mary's Catholic High School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Mount St Mary's Catholic High School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
468.0,,2166,,School grant - Pudsey Bolton Royd Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Pudsey Bolton Royd Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
900.0,,1832,,School grant - Ralph Thoresby School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Ralph Thoresby School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
240.0,,1833,,School grant - Rosebank Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Rosebank Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
160.0,,2167,,School grant - Rothwell Victoria Junior School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Rothwell Victoria Junior School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
626.0,,1834,,School grant - Sharp Lane Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Sharp Lane Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
500.0,,1835,,School grant - Shire Oak CE Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Shire Oak CE Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
405.0,,1836,,School grant - St Francis Catholic Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - St Francis Catholic Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
220.0,,2168,,School grant - Thorpe Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Thorpe Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
28.0,,1483,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,28.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1493,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,60.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1470,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,60.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1491,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,30.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1466,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,60.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
6.0,,1481,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,6.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
45.0,,1723,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,45.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1476,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,30.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
48.0,,1478,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,48.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
8.0,,1725,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,8.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
58.0,,1724,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,58.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1492,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,30.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1480,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,60.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1489,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,60.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
56.0,,1502,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,56.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1508,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,30.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
30.0,,1477,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,30.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
31.0,,1465,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,31.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
60.0,,1507,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,60.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-04-17,01 - Greenlit,,
