id,q,r,colour,lad19nmw,count_2018-19,count_2019-20,count_2020-21,count_2021-22,count_2022-23,sum_2018-19,sum_2019-20,sum_2020-21,sum_2021-22,sum_2022-23,las
Sunderland,7,19,#D60303,,12,9,10,12,8,207795,202840,318489,250899,261603,Sunderland
Doncaster,9,14,#F9BC26,,5,12,3,6,1,116319,238907,43994,381586,1447,Doncaster
Rotherham,9,13,#F9BC26,,6,3,3,4,4,105374,129938,67938,217679,245358,Rotherham
Sheffield,8,13,#F9BC26,,59,64,36,62,14,1176185,1315796,702459,1674804,363597,Sheffield
Newcastle upon Tyne,5,19,#D60303,,65,85,42,69,16,1702208,1560159,630349,1866272,555091,Newcastle upon Tyne
Birmingham,5,8,#E6007C,,110,111,74,101,42,2346670,2858517,1630871,3620410,1534503,Birmingham
Coventry,5,6,#E6007C,,18,29,28,42,6,474101,555491,1711590,2331339,881836,Coventry
Hillingdon,7,4,#D73058,,5,5,3,4,6,46352,52217,39715,80458,92838,Hillingdon
Dudley,1,7,#E6007C,,5,2,6,15,5,60646,23992,76090,365548,164911,Dudley
Sandwell,3,7,#E6007C,,16,19,7,17,3,309108,413627,192850,657359,67335,Sandwell
Hounslow,7,3,#D73058,,9,15,3,6,2,109532,296201,59860,73444,67317,Hounslow
Islington,11,3,#D73058,,89,102,43,78,22,1262545,3368744,845755,1945311,772380,Islington
Solihull,5,7,#E6007C,,8,5,5,7,1,81894,86060,71545,152867,20000,Solihull
Walsall,4,8,#E6007C,,3,5,0,3,1,74970,99014,0,34670,30000,Walsall
Wolverhampton,3,8,#E6007C,,11,9,9,9,5,233415,120159,209412,215724,170337,Wolverhampton
Bradford,7,16,#F9BC26,,26,27,16,21,7,655156,1857838,448094,650112,213926,Bradford
Calderdale,7,15,#F9BC26,,25,19,9,21,8,626742,312606,122238,346340,200676,Calderdale
Kirklees,8,15,#F9BC26,,23,25,22,34,9,435066,501974,347751,932877,307924,Kirklees
Wakefield,9,15,#F9BC26,,10,11,8,9,2,164318,263948,96268,1032323,61001,Wakefield
Leeds,8,16,#F9BC26,,92,97,46,91,29,2147451,2195194,1029324,2418792,1134961,Leeds
Bexley,12,1,#D73058,,2,6,3,7,4,18640,57826,41613,191318,134026,Bexley
Gateshead,6,19,#D60303,,25,23,2,18,3,423544,405936,23375,404084,130033,Gateshead
City of London,11,2,#D73058,,6,9,4,5,2,96549,266774,50600,149980,80000,City of London
Barking and Dagenham,13,3,#D73058,,11,5,7,8,1,150741,53887,149280,144187,13976,Barking and Dagenham
Barnet,10,5,#D73058,,25,29,19,19,6,301769,472459,256055,292794,136593,Barnet
Kensington and Chelsea,9,3,#D73058,,38,31,12,15,8,536290,390112,180398,242149,177046,Kensington and Chelsea
Richmond upon Thames,8,2,#D73058,,14,15,9,12,7,217479,210958,91668,198911,140658,Richmond upon Thames
Southwark,9,1,#D73058,,99,74,49,83,30,1784135,1930465,764896,2336260,713120,Southwark
Sutton,9,0,#D73058,,5,8,4,7,0,86452,104598,46296,197313,0,Sutton
Tower Hamlets,12,2,#D73058,,63,87,35,77,21,1206515,2218815,583517,1822065,447921,Tower Hamlets
Waltham Forest,13,4,#D73058,,49,56,31,45,10,747930,795891,428509,758682,266579,Waltham Forest
Antrim and Newtownabbey,-4,16,#722EA5,,0,0,0,0,0,0,0,0,0,0,
"Armagh City, Banbridge and Craigavon",-5,16,#722EA5,,0,0,0,0,0,0,0,0,0,0,
Belfast,-4,17,#722EA5,,0,0,0,1,1,0,0,0,4926,33106,Belfast
Causeway Coast and Glens,-5,18,#722EA5,,0,0,0,0,0,0,0,0,0,0,
Derry City and Strabane,-6,17,#722EA5,,0,0,0,0,0,0,0,0,0,0,
Fermanagh and Omagh,-6,16,#722EA5,,0,1,0,0,0,0,6750,0,0,0,Fermanagh and Omagh
Lisburn and Castlereagh,-5,15,#722EA5,,0,0,0,0,0,0,0,0,0,0,
Mid and East Antrim,-4,18,#722EA5,,0,0,0,0,0,0,0,0,0,0,
Mid Ulster,-5,17,#722EA5,,0,0,0,0,0,0,0,0,0,0,
"Newry, Mourne and Down",-4,15,#722EA5,,0,0,0,0,0,0,0,0,0,0,
Clackmannanshire,2,24,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Dumfries and Galloway,4,20,#2254F4,,2,0,0,1,0,21732,0,0,14950,0,Dumfries and Galloway
East Ayrshire,3,20,#2254F4,,0,0,0,0,0,0,0,0,0,0,
East Lothian,5,22,#2254F4,,0,0,0,0,0,0,0,0,0,0,
East Renfrewshire,2,20,#2254F4,,0,1,0,0,0,0,15000,0,0,0,East Renfrewshire
Na h-Eileanan Siar,-1,27,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Falkirk,2,23,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Highland,1,26,#2254F4,,0,1,0,0,0,0,14800,0,0,0,Highland
Inverclyde,0,21,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Midlothian,3,21,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Moray,2,26,#2254F4,,0,1,0,0,0,0,14994,0,0,0,Moray
North Ayrshire,1,20,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Orkney Islands,4,28,#2254F4,,0,1,0,0,0,0,13394,0,0,0,Orkney Islands
Scottish Borders,4,21,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Shetland Islands,5,30,#2254F4,,0,0,0,0,0,0,0,0,0,0,
South Ayrshire,1,19,#2254F4,,0,0,0,0,0,0,0,0,0,0,
South Lanarkshire,2,21,#2254F4,,1,0,0,0,0,24848,0,0,0,0,South Lanarkshire
Stirling,1,24,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Aberdeen City,4,26,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Aberdeenshire,3,26,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Argyll and Bute,0,24,#2254F4,,0,0,0,0,0,0,0,0,0,0,
City of Edinburgh,4,22,#2254F4,,2,5,0,1,0,53635,66456,0,12348,0,City of Edinburgh
West Dunbartonshire,0,23,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Renfrewshire,1,22,#2254F4,,0,0,0,0,0,0,0,0,0,0,
East Dunbartonshire,1,23,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Fife,3,24,#2254F4,,1,0,0,0,0,14979,0,0,0,0,Fife
West Lothian,3,22,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Angus,2,25,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Dundee City,3,25,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Perth and Kinross,1,25,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Glasgow City,1,21,#2254F4,,7,1,1,4,1,91445,16200,9358,95825,14686,Glasgow City
Bridgend,-3,6,#0DBC37,Pen-y-bont ar Ogwr,0,0,0,0,0,0,0,0,0,0,
North Lanarkshire,2,22,#2254F4,,0,0,0,0,0,0,0,0,0,0,
Isle of Anglesey,-2,12,#0DBC37,Ynys M̫n,0,0,0,0,0,0,0,0,0,0,
Gwynedd,-2,10,#0DBC37,Gwynedd,0,0,0,0,0,0,0,0,0,0,
Conwy,-1,10,#0DBC37,Conwy,0,0,0,0,0,0,0,0,0,0,
Denbighshire,0,10,#0DBC37,Sir Ddinbych,0,0,0,1,0,0,0,0,8454,0,Denbighshire
Flintshire,0,11,#0DBC37,Sir y Fflint,0,0,0,0,0,0,0,0,0,0,
Wrexham,1,10,#0DBC37,Wrecsam,1,0,1,1,0,8014,0,11998,12855,0,Wrexham
Ceredigion,-2,9,#0DBC37,Ceredigion,0,1,1,0,0,0,7845,15000,0,0,Ceredigion
Pembrokeshire,-5,6,#0DBC37,Sir Benfro,0,0,0,0,0,0,0,0,0,0,
Carmarthenshire,-4,6,#0DBC37,Sir Gaerfyrddin,1,0,0,0,0,13456,0,0,0,0,Carmarthenshire
Swansea,-4,5,#0DBC37,Abertawe,0,0,1,1,0,0,0,6400,24335,0,Swansea
Neath Port Talbot,-3,5,#0DBC37,Castell-nedd Port Talbot,0,0,0,0,0,0,0,0,0,0,
Vale of Glamorgan,-2,4,#0DBC37,Bro Morgannwg,0,1,0,1,0,0,11720,0,14476,0,Vale of Glamorgan
Cardiff,-2,5,#0DBC37,Caerdydd,12,7,2,3,2,177879,92409,28515,129350,49202,Cardiff
Rhondda Cynon Taf,-3,7,#0DBC37,Rhondda Cynon Taf,0,2,1,0,0,0,29955,5100,0,0,Rhondda Cynon Taf
Torfaen,-2,7,#0DBC37,Torfaen,0,0,0,0,0,0,0,0,0,0,
Caerphilly,-2,6,#0DBC37,Caerffili,0,0,0,0,0,0,0,0,0,0,
Blaenau Gwent,0,9,#0DBC37,Blaenau Gwent,0,0,0,0,0,0,0,0,0,0,
Merthyr Tydfil,-2,8,#0DBC37,Merthyr Tudful,0,0,0,0,0,0,0,0,0,0,
Monmouthshire,-1,8,#0DBC37,Sir Fynwy,0,1,0,2,0,0,14986,0,3500,0,Monmouthshire
Newport,-1,5,#0DBC37,Casnewydd,1,1,0,0,0,14900,14913,0,0,0,Newport
Powys,-1,9,#0DBC37,Powys,0,0,0,2,1,0,0,0,35000,10563,Powys
