Publication,Subject,Date,Type,Messaging,"Sentiment (positive, negative, neutral)",Scope,Tier (1 or 2),"Print, Online, Broadcast",CIRC,Month
Yorkshire Evening Post ,Leeds 2023 looking to recruit person from each of city's 33 wards to become a Neighbourhood Host for year of culture,2022-05-15,mention,,Positive ,local,,Online ,23055,2022-05
westleedsdispatch.com,Farsley art event brings community together,2022-05-16,mention,,Positive ,local,,Online ,1140,2022-05
westleedsdispatch.com,Walk captures ‘acts of defiance’ in Bramley,2022-05-17,mention,,Positive ,local,,Online ,1140,2022-05
artsprofessional.co.uk,My Gurus: Be the change you want to see,2022-05-17,mention,,Positive,national/trade,,Online ,27174,2022-05
Yorkshire  post ,Shockas 'voice of the North' Kay Mellor dies,2022-05-18,comment/opinion,,Neutral ,regional,,Print ,21817,2022-05
Yorkshire Evening Post ,Celebrating the diversity and sounds of our multi-cultural city ,2022-05-21,comment/opinion,,Positive ,local,,Print ,23055,2022-05
Daily Express,Mill towns proud rise to city of culture bid ,2022-05-21,mention,,Positive ,national/trade,,Print ,251737,2022-05
Yorkshire Evenning Post ,Poet and videographer combine to celebrate look and sound of the city for Leeds 2023,2022-05-22,comment/opinion,,Positive ,local,,Print,23055,2022-05
Yorkshire Post,Dance company hits out at union in row over anniversary lay-offs,2022-05-24,comment/opinion,,Neutral ,regional,,Print ,36512,2022-05
Yorkshire Evening Post ,Putting unsung heroes of leeds music scene in the spotlight ,2022-05-28,feature,,Postive ,local,,Print ,23055,2022-05
yorkshireeveningpost.co.uk,'An integral part of life': Music producer at Leeds 2023 looking to shine a light on city's musicians,2022-05-29,comment/opinion,,Positive,local,,Online ,311316,2022-05
News Anyway ,Leeds sends message of congratulations as Bradford is named UK City of Culture 2025,2022-06-01,news,,Postive ,international,,Online ,0,2022-06
Yorkshire Evening Post ,Bringing the joy of jazz to leeds for first family riendly festival ,2022-06-04,feature,,Postive ,local,,Print,23055,2022-06
yorkshireeveningpost.co.uk,First Jazz festival coming to Leeds this June as city gears up for Leeds 2023 year of culture celebrations,2022-06-05,comment/opinion,,Postive ,local,,Online ,311316,2022-06
yorkshireeveningpost.co.uk,Broadcaster and former Leeds United footballer Sanchez Payne on the talent waiting to be discovered during Leeds 2023 year of culture,2022-06-06,comment/opinion,,Postive ,local,,Online ,311316,2022-06
Yorkshire Evening Post ,So much talent waiting to be discovered ,2022-06-06,comment/opinion,,Postive ,local,,Print,23055,2022-06
westleedsdispatch.com,Councillors issue video calls for all Outer West community meetings,2022-06-08,mention,,Neutral ,local,,Online ,1140,2022-06
Yorkshire Evening Post,Ensuring young people's voices are heard right across the city,2022-06-11,feature,,Postive ,local,,Print,23055,2022-06
yorkshireeveningpost.co.uk,Youth Voice Manager promises young people will be at the heart of Leeds 2023 year of culture,2022-06-12,comment/opinion,,Positive ,regional,,Online ,21817,2022-06
Yorkshire Post , 'Culture could help to drive a tourism boom',2022-06-14,news,,Positive ,regional,,Print ,21817,2022-06
yorkshireeveningpost.co.uk,"Bradford City of Culture 2025 and Leeds 2023 can drive West Yorkshire tourism boom, suggests Tracy Brabin",2022-06-14,mention,,Positive ,local,,Online ,311316,2022-06
Technotrenz.com,"What city might host Eurovision 2023? After receiving an offer from the BBC, Glasgow or Manchester are expected to host the event.",2022-06-15,mention,,Neutral ,international,,Online,6600,2022-06
newsanyway.com,Council chiefs set to back new tribute to David Oluwale,2022-06-15,mention,,Positive ,national/trade,,Online ,51000,2022-06
designweek.co.uk,Design Week Awards 2022 – the shortlist in full,2022-06-16,mention,,Neutral ,national/trade,,Online ,200000,2022-06
eurovoix.com,Eurovision 2023: Leeds Expresses Interest in Hosting Eurovision,2022-06-17,mention,,Neutral ,international,,Online,103350,2022-06
huffingtonpost.co.uk,"So, Where In The UK Could Eurovision 2023 Be Held – And How Much Would It Cost?",2022-06-17,mention,,Neutral ,national/trade,,Online ,584040,2022-06
yorkshireeveningpost.co.uk,Leeds to bid to host Eurovision Song Contest 2023 at the First Direct Arena in honour of Ukraine,2022-06-17,mention,,Positive,local,,Online,311316,2022-06
itv.com,London 'ready to step up' and host Eurovision 2023 as British cities race to pitch for the event,2022-06-17,mention,,Neutral ,national/trade,,Online ,2758260,2022-06
Yorkshire Evening Post ,Can Leeds really land Eurovision ,2022-06-18,comment/opinion,,Neutral ,local,,Print,23055,2022-06
inews.co.uk,Where could Eurovision 2023 be held? Glasgow or Manchester tipped to host contest after offer to BBC,2022-06-18,mention,,Neutral ,national/trade,,Online ,7300000,2022-06
Yorkshire Evening Post ,Soap opera: Michelle cleans up with new business venture ,2022-06-18,mention,,Neutral ,local,,Print,23055,2022-06
Yorkshire Evening Post ,Making a difference now - and for the future with theatre project ,2022-06-18,feature,,Positive ,local,,Print,23055,2022-06
yorkshireeveningpost.co.uk,Leeds 2023 working with Mafwa Theatre to create green spaces for local refugees to enjoy art and nature,2022-06-19,comment/opinion,,Popular,local,,Online,311316,2022-06
escunited.com,Which British cities have shown interest in hosting Eurovision 2023?,2022-06-19,mention,,Neutral ,national/trade,,Online ,74340,2022-06
westleedsdispatch.com,Leeds 2023 roadshow comes to Pudsey House,2022-06-21,mention,,Positive ,local,,Online,1140,2022-06
esctoday.com,Eurovision 2023: Leeds is vying to host the competition,2022-06-22,mention,,Positive,national/trade,,Online,145560,2022-06
Yorkshire Evening Post ,"Transforming Seacroft with music, food, sport and stories ",2022-06-25,feature,,Positive ,local,,Print ,23055,2022-06
westleedsdispatch.com,Leeds 2023 Roadshow comes to Old Farnley Community Centre,2022-06-27,mention,,Positive ,local,,Online,1140,2022-06
yorkshireeveningpost.co.uk,LEEDS 2023: How community groups are turning Seacroft into a hive of activism and art,2022-06-26,comment/opinion,,Positive,local,,Online,311316,2022-06
bdaily.co.uk,£2.1m awarded to bring Leeds’ heritage stories to life,2022-06-28,news,,Positive ,national/trade,,Online,126000,2022-06
yorkshirepost.co.uk,Emmerdale’s 50th anniversary could tie into Leeds 2023 cultural celebrations,2022-06-28,mention,,Positive ,regional,,Online,567120,2022-06
Yorkshire Evening Post ,Culture link with soap milestone ,2022-06-29,mention,,Neutral ,local,,Print ,36512,2022-06
escxtra.com,City council wants to bring Eurovision 2023 to Leeds,2022-06-29,mention,,Positive,national/trade,,Online,74340,2022-06
TelegraphandArgus.co.uk,Leeds doesn’t exist!’: Councillor unhappy with city’s absence from weather forecast maps,2022-06-29,mention,,Negative,local,,Online ,74441,2022-06
leeds-live.co.uk,Leeds to get 'crucial' multi-million pound investment in 2023 that will leave a 'lasting legacy' of history and hidden stories,2022-06-29,news,,Positive ,local,,Online ,55680,2022-06
Yorkshireeveningpost.co.uk,Leeds 2023 awarded over £2 million in National Lottery fund support for year of culture and heritage,2022-06-29,news,,Positive ,local,,Online,311316,2022-06
insidermedia.com,LEEDS 2023 SECURES £2.1M IN LOTTERY FUNDING,2022-06-29,news,,Positive ,regional,,Online,10250,2022-06
advisor.museumsandheritage.com,National Lottery funding puts ‘heritage at the heart’ of six projects with £13.7m funding,2022-06-29,news,,Positive ,national/trade,,Online ,6757,2022-06
westleedsdispatch.com,Emmerdale’s 50th anniversary could tie into Leeds cultural celebrations,2022-06-29,mention,,Positive ,local,,Online,1140,2022-06
prolificnorth.co.uk,The National Lottery awards £2.1m funding to Leeds 2023,2022-06-29,news,,Positive ,regional,,Online,70000,2022-06
Yorkshire Evening Post,Culture link with soap milestone ,2022-06-29,news,,Positive,local,,Print,23055,2022-06
Yorkshire Post,Culture link with soap milestone ,2022-06-30,news,,Positive,regional,,Print,21817,2022-06
